Year,College Code,College_Name,Branch Code,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST
2018,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",AE,AERONAUTICAL ENGINEERING,197.25,195.75,194.25,194.33,191,185.5,
2018,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",AS,AUTOMOBILE ENGINEERING (SS),192.67,191.5,190,189.5,178.75,158,
2018,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",AU,AUTOMOBILE ENGINEERING,195.33,194.25,191.75,193,182.25,179,171.25
2018,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",CM,COMPUTER SCIENCE AND ENGG.(SS),197.25,197,194.75,195.75,187,174,
2018,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",CS,COMPUTER SCIENCE AND ENGG.,198,197.5,197.5,196.5,192.25,189.25,185.5
2018,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EC,ELECTRONICS AND COMMUNICATION ENGG.,197.75,197.5,196.5,196.75,194,191.75,183.5
2018,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EI,ELECTRONICS AND INSTRU ENGG.,196.5,195.75,192,194.75,187.75,184.5,166
2018,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EM,ELECTRONICS AND COMMUNICATION ENGG. (SS),196.75,196.5,192.25,195.5,186.75,170.75,172.5
2018,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EX,ELECTRONICS AND INSTRU ENGG(SS),195.25,194.75,191.5,193.5,182.5,167,
2018,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",IM,INFORMATION TECHNOLOGY(SS),196.5,195.75,193.75,194.25,183,166.5,170.75
2018,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",MF,MECHANICAL ENGINEERING(SS),196.5,196.25,194,195,190,182.75,168.75
2018,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",PR,PRODUCTION ENGINEERING,193.5,192.25,189.75,189.75,178,169.5,119.75
